,boxscore,away_name,away_abbr,away_score,home_name,home_abbr,home_score,winning_name,winning_abbr,losing_name,losing_abbr
17963,201405290SAS,Oklahoma City,OKC,89,San Antonio,SAS,117,San Antonio,SAS,Oklahoma City,OKC
17964,201405300MIA,Indiana,IND,92,Miami,MIA,117,Miami,MIA,Indiana,IND
17965,201405310OKC,San Antonio,SAS,112,Oklahoma City,OKC,107,San Antonio,SAS,Oklahoma City,OKC
17966,201406050SAS,Miami,MIA,95,San Antonio,SAS,110,San Antonio,SAS,Miami,MIA
17967,201406080SAS,Miami,MIA,98,San Antonio,SAS,96,Miami,MIA,San Antonio,SAS
17968,201406100MIA,San Antonio,SAS,111,Miami,MIA,92,San Antonio,SAS,Miami,MIA
17969,201406120MIA,San Antonio,SAS,107,Miami,MIA,86,San Antonio,SAS,Miami,MIA
17970,201406150SAS,Miami,MIA,87,San Antonio,SAS,104,San Antonio,SAS,Miami,MIA
17971,201410280LAL,Houston,HOU,108,LA Lakers,LAL,90,Houston,HOU,LA Lakers,LAL
17972,201410280NOP,Orlando,ORL,84,New Orleans,NOP,101,New Orleans,NOP,Orlando,ORL
17973,201410280SAS,Dallas,DAL,100,San Antonio,SAS,101,San Antonio,SAS,Dallas,DAL
17974,201410290BOS,Brooklyn,BRK,105,Boston,BOS,121,Boston,BOS,Brooklyn,BRK
17975,201410290CHO,Milwaukee,MIL,106,Charlotte,CHO,108,Charlotte,CHO,Milwaukee,MIL
17976,201410290DEN,Detroit,DET,79,Denver,DEN,89,Denver,DEN,Detroit,DET
17977,201410290IND,Philadelphia,PHI,91,Indiana,IND,103,Indiana,IND,Philadelphia,PHI
17978,201410290MEM,Minnesota,MIN,101,Memphis,MEM,105,Memphis,MEM,Minnesota,MIN
17979,201410290MIA,Washington,WAS,95,Miami,MIA,107,Miami,MIA,Washington,WAS
17980,201410290NYK,Chicago,CHI,104,New York,NYK,80,Chicago,CHI,New York,NYK
17981,201410290PHO,LA Lakers,LAL,99,Phoenix,PHO,119,Phoenix,PHO,LA Lakers,LAL
17982,201410290POR,Oklahoma City,OKC,89,Portland,POR,106,Portland,POR,Oklahoma City,OKC
17983,201410290SAC,Golden State,GSW,95,Sacramento,SAC,77,Golden State,GSW,Sacramento,SAC
