,abbreviation,assists,blocks,defensive_rebounds,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempts,free_throw_percentage,free_throws,games_played,minutes_played,name,offensive_rebounds,opp_assists,opp_blocks,opp_defensive_rebounds,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_total_rebounds,opp_turnovers,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,personal_fouls,points,rank,steals,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebounds,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals
564,DET,1112,235,1507,3959,0.444,1757,1107,0.771,853,46,11190,Detroit Pistons,456,1137,268,1590,3962,0.475,1882,1030,0.764,787,456,955,5093,348,1458,0.372,542,2046,677,2504,0.535,1340,943,4930,25,361,1598,0.352,563,1963,676,2361,0.506,1194
565,MEM,1174,192,1533,4051,0.462,1873,903,0.783,707,44,10610,Memphis Grizzlies,493,1119,246,1548,3821,0.468,1787,964,0.779,751,393,796,4900,354,1556,0.37,575,1941,702,2265,0.535,1212,815,4916,26,428,1331,0.348,463,2026,600,2720,0.518,1410
566,ORL,1066,196,1688,4209,0.431,1812,919,0.782,719,47,11305,Orlando Magic,494,1199,237,1751,4163,0.466,1938,876,0.781,684,420,843,5200,367,1758,0.364,640,2171,597,2405,0.54,1298,786,4901,27,314,1564,0.357,558,2182,616,2645,0.474,1254
567,OKC,1044,207,1671,4007,0.448,1797,949,0.736,698,46,11115,Oklahoma City Thunder,386,1130,215,1725,4200,0.466,1959,877,0.758,665,460,839,5168,382,1672,0.35,585,2185,604,2528,0.544,1374,817,4881,28,325,1692,0.348,589,2057,688,2315,0.522,1208
568,CLE,1085,239,1508,4069,0.448,1824,1039,0.725,753,47,11405,Cleveland Cavaliers,516,1130,278,1587,4043,0.479,1936,992,0.775,769,479,946,5221,402,1510,0.384,580,2066,728,2533,0.535,1356,884,4837,29,390,1298,0.336,436,2024,732,2771,0.501,1388
569,SAS,1074,229,1543,3960,0.46,1820,909,0.785,714,44,10610,San Antonio Spurs,386,1081,234,1661,3928,0.466,1832,860,0.75,645,432,799,4872,270,1490,0.378,563,2093,592,2438,0.521,1269,764,4820,30,307,1291,0.361,466,1929,500,2669,0.507,1354
570,LAC,1186,210,1703,4263,0.483,2059,962,0.839,807,49,11760,Los Angeles Clippers,467,1123,179,1588,4243,0.468,1985,996,0.783,780,432,880,5316,344,1561,0.363,566,2020,633,2682,0.529,1419,936,5630,1,354,1692,0.417,705,2170,631,2571,0.527,1354
571,BRK,1244,243,1658,4111,0.495,2033,1081,0.796,861,47,11405,Brooklyn Nets,419,1153,215,1524,4319,0.463,2000,1008,0.78,786,480,898,5402,361,1689,0.365,616,2004,595,2630,0.526,1384,890,5598,2,312,1713,0.392,671,2077,652,2398,0.568,1362
572,MIL,1181,219,1735,4206,0.485,2038,964,0.748,721,46,11065,Milwaukee Bucks,483,1157,225,1562,4266,0.456,1944,815,0.787,641,432,841,5196,319,1771,0.377,667,1994,599,2495,0.512,1277,794,5474,3,368,1726,0.392,677,2218,644,2480,0.549,1361
573,DEN,1267,206,1585,4204,0.488,2052,889,0.785,698,47,11430,Denver Nuggets,492,1241,207,1500,4028,0.469,1891,1022,0.775,792,443,904,5187,339,1686,0.364,613,1943,667,2342,0.546,1278,891,5430,4,385,1624,0.387,628,2077,628,2580,0.552,1424
574,SAC,1211,230,1527,4177,0.485,2027,1079,0.734,792,47,11305,Sacramento Kings,470,1195,211,1595,4244,0.489,2075,1030,0.802,826,485,923,5570,350,1518,0.391,594,2080,600,2726,0.543,1481,922,5412,5,309,1549,0.365,566,1997,628,2628,0.556,1461
575,UTA,1095,255,1715,4060,0.468,1899,1017,0.786,799,46,11065,Utah Jazz,507,1032,181,1505,4220,0.447,1886,876,0.774,678,466,886,4945,347,1427,0.347,495,1971,535,2793,0.498,1391,858,5380,6,299,1967,0.398,783,2222,655,2093,0.533,1116
576,PHI,1093,294,1686,4096,0.479,1963,1211,0.775,938,47,11405,Philadelphia 76ers,477,1108,209,1532,4165,0.451,1880,1072,0.763,818,454,994,5142,364,1552,0.363,564,1986,716,2613,0.504,1316,963,5374,7,419,1381,0.369,510,2163,725,2715,0.535,1453
577,NOP,1208,190,1600,4046,0.487,1971,1154,0.733,846,46,11090,New Orleans Pelicans,530,1214,265,1434,4054,0.471,1911,933,0.805,751,407,957,5274,338,1798,0.39,701,1841,590,2256,0.536,1210,812,5306,8,328,1444,0.359,518,2130,648,2602,0.558,1453
